year,plot,subplot,focal,fruit,seed
2019,5,C3,HOMA,1,12
2019,5,C3,LEMA,3,144
2019,5,C3,PAIN,1,1
2019,5,C4,CHFU,1,84
2019,5,C4,HOMA,1,12
2019,5,C4,LEMA,2,96
2019,5,C4,PAIN,1,1
2019,5,C5,CHFU,2,168
2019,5,C5,HOMA,1,12
2019,5,C5,LEMA,2,96
2019,5,C5,PAIN,1,1
2019,5,C5,POMA,1,86
2019,5,C6,CHFU,3,252
2019,5,C6,HOMA,1,12
2019,5,C6,LEMA,3,144
2019,5,C6,PAIN,1,1
2019,5,C6,SASO,5,10
2019,5,D1,CHFU,6,504
