Line,Plot,Subplot,Plant,ID,type_seed_per_fruit,Seeds_GF,visits_GF,Visits_tot,homo_motif,hete_motif,Real_PR_Multi,Real_PR_Layer,StrengthIn,StrengthOut,DegreeIn,DegreeOut,Delta,Ratio
1,1,C2,PUPA,Lasioglossum_malachurum,Individual,29,1,1,1,2,0.0032010923421306697,0.006614114114114117,0.2,1,1,1,-0.0034130217719834477,0.48397900110307035
1,1,C3,LEMA,Brassicogethes_sp,Individual,58,6,6,58,0,0.007015557576249806,0.006926119614344891,0.02575107296137339,1,1,1,8.943796190491547e-5,1.0129131413958947
1,1,C4,LEMA,Brassicogethes_sp,Individual,59,4,4,28,0,0.006239813588403786,0.006157999940165106,0.03534920015606711,1,2,2,8.181364823867977e-5,1.0132857500866566
1,1,C4,LEMA,Psilothrix_viridicoerulea,Individual,59,1,1,26,0,0.006239813588403786,0.006157999940165106,0.03534920015606711,1,2,2,8.181364823867977e-5,1.0132857500866566
1,1,C5,LEMA,Brassicogethes_sp,Individual,67,1,1,28,0,0.0040476290225371185,0.004023110709828987,0.14714898835070508,1,2,2,2.4518312708131373e-5,1.0060943668908315
1,1,C5,LEMA,Musca_sp,Individual,67,1,1,1,0,0.0040476290225371185,0.004023110709828987,0.14714898835070508,1,2,2,2.4518312708131373e-5,1.0060943668908315
1,1,C6,LEMA,Brassicogethes_sp,Individual,61.5,2,2,28,0,0.007770034689975033,0.007706570471185865,1.0267655091689427,1,3,3,6.346421878916826e-5,1.0082350792776702
1,1,C6,LEMA,Psilothrix_viridicoerulea,Individual,61.5,1,1,26,0,0.007770034689975033,0.007706570471185865,1.0267655091689427,1,3,3,6.346421878916826e-5,1.0082350792776702
1,1,C6,LEMA,Sphaerophoria_scripta,Individual,61.5,1,1,0,0,0.007770034689975033,0.007706570471185865,1.0267655091689427,1,3,3,6.346421878916826e-5,1.0082350792776702
1,1,D1,LEMA,Brassicogethes_sp,Individual,52,4,4,30,0,0.007108144348196586,0.007004142359655838,0.05353101833788529,1,2,2,1.0400198854074866e-4,1.0148486400190557
1,1,D1,LEMA,Psilothrix_viridicoerulea,Individual,52,2,2,26,0,0.007108144348196586,0.007004142359655838,0.05353101833788529,1,2,2,1.0400198854074866e-4,1.0148486400190557
1,1,D2,LEMA,Brassicogethes_sp,Individual,75,7,7,58,0,0.009574256469654822,0.009425535500161617,0.06640655481857198,1,2,2,1.4872096949320422e-4,1.0157785167209497
1,1,D2,LEMA,Psilothrix_viridicoerulea,Individual,75,2,2,26,0,0.009574256469654822,0.009425535500161617,0.06640655481857198,1,2,2,1.4872096949320422e-4,1.0157785167209497
1,1,D3,LEMA,Brassicogethes_sp,Individual,62,3,3,58,0,0.006286106974377176,0.006197011312820574,0.049239172844323054,1,2,2,8.909566155660201e-5,1.0143771984686034
1,1,D3,LEMA,Psilothrix_viridicoerulea,Individual,62,2,2,26,0,0.006286106974377176,0.006197011312820574,0.049239172844323054,1,2,2,8.909566155660201e-5,1.0143771984686034
1,1,D4,LEMA,Brassicogethes_sp,Individual,66.5,7,7,65,0,0.014771009331766677,0.014543054302225434,1.1209520093640266,1,3,3,2.279550295412429e-4,1.0156744948347172
1,1,D4,LEMA,Geometridae,Individual,66.5,1,1,0,0,0.014771009331766677,0.014543054302225434,1.1209520093640266,1,3,3,2.279550295412429e-4,1.0156744948347172
1,1,D4,LEMA,Psilothrix_viridicoerulea,Individual,66.5,5,5,28,0,0.014771009331766677,0.014543054302225434,1.1209520093640266,1,3,3,2.279550295412429e-4,1.0156744948347172
1,1,D5,LEMA,Brassicogethes_sp,Individual,65,5,5,65,0,0.010859527801294717,0.010641240470005203,0.2941865001950839,1,3,3,2.1828733128951422e-4,1.020513335066979
